ID,RA,Dec,action,reason
16613,266.53035447,-28.75907612,exclude,"DQ-saturated in F466N (seed_kind=dqsat, 75 mas): unmeasurable in any band"
18366,266.54628805,-28.72196851,replace_mags_satstar,"genuinely saturated (dqsat SW entries <0.25""); CSV mags clipped ~3 mag; F466N entry is charge-migration class (unsaturated, ~11.3-11.5, near onset -- verify exposure safety); keep with satstar photometry"
18491,266.51928602,-28.6643222,replace_mags_satstar,"genuinely saturated (dqsat SW entries <0.25""); CSV mags clipped ~3 mag; F466N entry is charge-migration class (unsaturated, ~11.3-11.5, near onset -- verify exposure safety); keep with satstar photometry"
17354,266.54004843,-28.67209215,replace_mags_satstar,"F200W satstar at 104 mas, CSV F200W clipped 6.4 mag; other bands honest; keep with satstar F200W"
11346,266.52180592,-28.7177437,replace_mags_satstar,F356W/F444W satstar entries at 172 mas with CSV clipped >=2 mag; keep with satstar photometry in those bands
14,266.53385608,-28.68065991,fix_ref_mags,REFERENCE: F115W verified good; F200W satstar (m=11.4) at 93 mas -- CSV F200W/F356W/F444W clipped; replace from satstar photometry
33,266.53397645,-28.68255322,fix_band_f200w,CSV F200W entry +3.0-3.3 mag off own abfix value (cross-column glitch in CSV build); all other bands consistent <=0.3 mag; fix F200W only
3853,266.53966692,-28.67691538,fix_band_f200w,CSV F200W entry +3.0-3.3 mag off own abfix value (cross-column glitch in CSV build); all other bands consistent <=0.3 mag; fix F200W only
9106,266.52895445,-28.7341374,fix_band_f200w,CSV F200W entry +3.0-3.3 mag off own abfix value (cross-column glitch in CSV build); all other bands consistent <=0.3 mag; fix F200W only
7047,266.55523994,-28.6834441,fix_band_f356w,CSV F356W +1.2 off abfix; rest consistent
5534,266.53882039,-28.6823131,fix_band_f115w_f200w,CSV F115W/F200W +2.4/+2.5 off abfix; rest consistent
16427,266.52456259,-28.7480517,remeasure_flagged,entire CSV row offset +1.8-2.9 vs abfix in EVERY band: row matched to wrong star or double-converted; re-derive from abfix/vetted
16160,266.51849771,-28.70744624,remeasure_flagged,CSV F410M=10.5 Vega is a 7-mag single-band chimera (no such source at position; abfix lacks the band to auto-test); re-derive row
16190,266.51453525,-28.71122202,remeasure_flagged,CSV F405N zigzag 2.9 mag vs neighbors; abfix lacks bands to auto-test; verify before use
